#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=32.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:32 out:34 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:39 out:36 type:P dur:2 cpbdur:2 q:37.40 aq:24.21 tex:2008 mv:501 misc:1235 imb:31 pmb:168 smb:3401 d:- ref:0 ;
in:37 out:37 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:36 out:38 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:43 out:40 type:P dur:2 cpbdur:2 q:37.40 aq:23.52 tex:2532 mv:588 misc:1224 imb:34 pmb:145 smb:3421 d:- ref:0 ;
in:41 out:41 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:40 out:42 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:47 out:44 type:P dur:2 cpbdur:2 q:37.40 aq:23.56 tex:4656 mv:905 misc:1767 imb:62 pmb:300 smb:3238 d:- ref:0 ;
in:45 out:45 type:B dur:2 cpbdur:2 q:37.40 aq:31.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
